Access,Difference,Start Time,Duration (sec),,Start,12/6/2024
1,1/0/1900 5:00,18000.00,519.05,,,
2,1/0/1900 16:32,59575.96,693.648,,,
3,1/0/1900 18:07,65267.11,674.302,,,
4,1/1/1900 3:19,98366.33,645.539,,,
5,1/1/1900 4:53,104005.28,712.716,,,
6,1/1/1900 16:29,145775.63,686.608,,,
7,1/1/1900 18:04,151462.22,681.681,,,
8,1/2/1900 3:16,184570.47,635.712,,,
9,1/2/1900 4:50,190199.63,717.112,,,
10,1/2/1900 6:30,196244.26,120.045,,,
11,1/2/1900 16:26,231975.52,678.902,,,
12,1/2/1900 18:00,237657.49,688.538,,,
13,1/2/1900 19:39,243571.46,78.28,,,
14,1/3/1900 3:12,270775.01,625.279,,,
15,1/3/1900 4:46,276394.36,720.954,,,
16,1/3/1900 6:26,282391.97,212.09,,,
17,1/3/1900 16:22,318175.68,670.496,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
